id,name,color,title
1832,A,blue,The Mischievous Elves and the Magic Sorting Spell
1833,B,violet,Stock Price Prediction Adjustment
1834,C,yellow,Xiangqi
1835,D,red,Pirate Code: The Black Spot Game
1836,E,pink,The Museum's Security Grid
1837,F,lightblue,The Ancient Formula
1838,G,purple,Magic Potion Battle
1839,H,ivory,Ingenious Missions
1840,I,gray,Block Builder's Challenge: The Rainfall Simulator
1841,J,turquoise,The Interplanetary Network
1842,K,gold,NTU Class Picking
1843,L,white,NTU I'm Forest Master
1844,M,brown,The Cursed Envoys and the Race for Awakening
