id,name,school
2301,DROP TABLE *;,臺大資管/電機/資工
2302,台中人缺一 敲石頭不揪,臺大資管
2303,我們志在參加,臺大資管
2304,姜睿喆沒了,臺大資管
2305,心碎了佑不揪,臺大資管
2306,我是菜雞,臺大電機
2307,對對隊,臺大電信/資工
2308,ADA+,臺大資工
2309,學測躁鬱青年立志成為皮卡丘,再興高中、延平高中
2310,snorlaxorz,臺大電機/資工
2311,隊名剛好7個字,臺大資管
2312,袋熊,臺大工海
2313,什麼！台東猴子不僅會獵山豬，竟然還會寫程式？？！！,臺大資管
2314,我需要DSAP加分,臺大資管、清大學士
2315,sam trie pair,北大資工
2316,鴯鶓真聰明,臺大生機
2317,RedCapeFlyingCat,清大資工
2318,不會打競程：恨帥潮 又是破防的一天 (☍﹏⁰),臺大資工
2319,會計周期過後，冷氣機要折舊嗎？,臺大資管/經濟
2320,我不會寫程式,臺大資工
2321,team3025,臺大資工
2322,Crazy Programming 2.0,臺大資工/經濟
2323,欠貝,北市大資科、政大資科
2324,你們題目寫不出來怎麼不找找自己問題,臺大數學/經濟、臺科大資工
2325,ඞ財金經濟聯隊ت,臺大資工
2326,CBS,交大資工/工工/運管
2327,CRYCHIC,交大資工
2328,ovob,臺大資工
2329,DSA被害者,臺大資工/經濟/工管
2330,不知道對不隊,臺科大資管
2331,好吃,臺大資管
2332,Mr. East,臺大法律、政大資管、輔大醫資
2333,全靠Intel工程師蓋亞先生凱瑞我們,臺大經濟、交大資工、清大資工
2334,Sam 個頂元,臺大資管
2335,CodeStorm,臺大資管
2336,大清帝國,海大資工、淡江資工、武陵高中
2337,N-3_Walker,臺大資工/醫學
2338,1974年第一次在東南亞打自由搏擊,臺大哲學/經濟/資工
2339,P 狗狗,臺大資管
2340,PD欸嗚欸嗚欸欸嗚嗚嗚嗚喔,臺大資管
2341,哈哈我沒想法,臺大經濟
2342,三個文組被當魚炸 a.k.a. 三文魚,臺大國企/社會/公衛
2343,彭信佳強勢衝擊台大法,臺大資管/資工
2344,喔隊,臺大資管
2345,======= 這條線以上都跪,北科大電資
2346,你說的都,臺大資管/資工
2347,凱悅歡唱資管分隊,臺大資管
2348,比利時兔吃 Hooters,臺大資管
2349,1%隊,臺大經濟/森林
2350,胡橫溢隨便虐,臺大電機
2351,雞少程多,臺大醫工
2352,讓暈船仔全部AC的告白演算法,交大電機、臺大生傳、政大資管
2353,我只會#define int long long,臺大電機/資工
2354,OverFlowers,交大資工
2355,baluteshih,臺大資工
2356,2.5分是我的,臺大資管
2357,痾我不會唸,臺大醫學/電機/資工
2358,🤡,臺大資管
2359,CartesianTree,交大資工
2360,H&M成衣,臺大資管/資工、師大電機
2361,戥彜夓,臺大電機/資工
2362,卍煞氣a丙成卍,臺大電機
2363,c96ao6ql3xj4,元智資工、輔大資工
2364,這不是一個隊名,逢甲資電/資訊
2365,何家光臨,臺大資管/醫工
2366,SABI,臺大資管
2367,哥們，這條刪了唄，我是無所謂的，沒那麼容易破防的，真的，我不輕易破防，但是我一個朋友可能有點汗流浹背了，他不太舒服想睡了，當然不是我哈，我一直都是行的，以一個旁觀者的心態看吧，也不至於破防吧，就是想照顧下我朋友的感受，他有點破防了，還是建議刪了吧，當然刪不刪隨你，我是沒感覺的，就是為朋友感到不平罷了，也不是那麼輕易破防的，求你了，刪了唄,建國中學
2368,👉👈,臺大資工
2369,五天後會記得報名PDAO不然隊友會生氣氣,臺大資工
2370,Popipa,臺大資工
2371,Quatschmäuse,NTU Semiconductor Engineering
2372,奶綠蒸香,臺大資管
2373,AnonTokyo,中央資工
2374,CatisThemostFoolish,臺北數位實驗高中
2375,天憲寶寶,交大資科工所
2376,Dijkstonaut,元智資工
